iter	Logloss
0	0.6833203288
1	0.6748306171
2	0.6673934264
3	0.6608264115
4	0.6551494308
5	0.6465695456
6	0.6384235253
7	0.6313459109
8	0.623416042
9	0.6184897779
10	0.6090909809
11	0.6019298383
12	0.596282122
13	0.5898502226
14	0.5857356024
15	0.5800328933
16	0.5764654614
17	0.5667067134
18	0.5611338843
19	0.5562914083
20	0.5545035168
21	0.5502762871
22	0.5437086694
23	0.5366404873
24	0.5326387828
25	0.5284201905
26	0.5250347972
27	0.5203190692
28	0.5128877968
29	0.5067708833
30	0.5032737425
31	0.4989942064
32	0.4934264591
33	0.487753762
34	0.4851035355
35	0.481842848
36	0.4771257845
37	0.4751490819
38	0.4701081809
39	0.4671385874
40	0.4623268264
41	0.4594966177
42	0.4569531259
43	0.4542800095
44	0.4516840731
45	0.4482494983
46	0.4464406858
47	0.4415093633
48	0.4390662066
49	0.4354320587
50	0.4303489099
51	0.427630837
52	0.4254095069
53	0.4200254515
54	0.4172303824
55	0.4140880591
56	0.4124441873
57	0.4109096404
58	0.4072536022
59	0.4041865934
60	0.4010034075
61	0.3996291727
62	0.396872065
63	0.3942403416
64	0.3893728964
65	0.3844558245
66	0.3822414422
67	0.3796141041
68	0.3778725532
69	0.3756200441
70	0.3738570356
71	0.3696649605
72	0.3676636426
73	0.3650336465
74	0.3625476467
75	0.3613159288
76	0.3595714886
77	0.3568683271
78	0.353376652
79	0.3501601943
80	0.3467120978
81	0.3442076991
82	0.3409794651
83	0.3383343524
84	0.3364415404
85	0.3336584308
86	0.3319611821
87	0.3295971836
88	0.3277336923
89	0.3250626998
90	0.3234408074
91	0.3199416459
92	0.3175671713
93	0.3153779698
94	0.3139051133
95	0.3113325298
96	0.3083923536
97	0.3050585103
98	0.303461258
99	0.3006422493
100	0.2974530648
101	0.2962742365
102	0.29508757
103	0.2931624426
104	0.2907289927
105	0.2885664761
106	0.2867324166
107	0.2855173364
108	0.2837187263
109	0.2813147389
110	0.2789054174
111	0.2777155178
112	0.2749801988
113	0.2733220224
114	0.2722863769
115	0.2706443582
116	0.2690972875
117	0.2673318127
118	0.2662198389
119	0.2644692198
120	0.2625214006
121	0.2607097356
122	0.2582446778
123	0.2555084293
124	0.2531304002
125	0.2515594029
126	0.2503311004
127	0.248419331
128	0.2460011499
129	0.2444198375
130	0.2425971765
131	0.2403520637
132	0.2379110181
133	0.2356536398
134	0.2344071978
135	0.2332389868
136	0.2312754708
137	0.2297384083
138	0.2284348139
139	0.2260375242
140	0.2240045527
141	0.2226928636
142	0.2213474635
143	0.2193256967
144	0.2171982275
145	0.2158583098
146	0.2148500211
147	0.2141721295
148	0.2130814607
149	0.2117805254
150	0.2107597959
151	0.2094186734
152	0.2079909697
153	0.2069519637
154	0.205460235
155	0.2041746005
156	0.2033189445
157	0.200733669
158	0.1998214533
159	0.1985406105
160	0.1978614941
161	0.1966084897
162	0.1950742584
163	0.1930980574
164	0.1907449255
165	0.1895893637
166	0.1885845733
167	0.1865716881
168	0.1842178558
169	0.1830421461
170	0.1812465418
171	0.1800329302
172	0.1786806672
173	0.1781224719
174	0.1771393914
175	0.1752127389
176	0.1740530024
177	0.1719554921
178	0.1715838642
179	0.1704087562
180	0.1689436033
181	0.167276293
182	0.166033594
183	0.1649281341
184	0.1632890489
185	0.1622067142
186	0.1597498124
187	0.1590937603
188	0.1578592899
189	0.1565472505
190	0.1554781973
191	0.1541976614
192	0.1527181342
193	0.1515424694
194	0.1502703963
195	0.1493800208
196	0.1469091752
197	0.1460125396
198	0.144463802
199	0.1438238752
200	0.1424608054
201	0.1404010516
202	0.1395007063
203	0.1388779465
204	0.1371110781
205	0.1362921029
206	0.1353772775
207	0.1346411013
208	0.1336700189
209	0.1326291526
210	0.1320174828
211	0.1307331906
212	0.1299966354
213	0.1293762541
214	0.1284175357
215	0.12719348
216	0.1264848283
217	0.1258085004
218	0.125300156
219	0.1243694331
220	0.1234871078
221	0.1229204996
222	0.1221383665
223	0.121655223
224	0.1205226154
225	0.1199519856
226	0.119183652
227	0.1185532963
228	0.1179327969
229	0.1167143157
230	0.1158904502
231	0.1154760067
232	0.1147189674
233	0.1138571501
234	0.1128187174
235	0.111954729
236	0.1109939296
237	0.1099803226
238	0.1088462478
239	0.1083814853
240	0.1079292473
241	0.1071605846
242	0.106782362
243	0.1064820525
244	0.1059508904
245	0.1053805391
246	0.1046469331
247	0.1037404777
248	0.1030265935
249	0.1025007973
250	0.1017494747
251	0.1013210367
252	0.1005375483
253	0.09969053071
254	0.09879861448
255	0.09784774534
256	0.09714356484
257	0.0964465519
258	0.09599104885
259	0.09568998133
260	0.09531761127
261	0.09446482724
262	0.0937397076
263	0.09310573296
264	0.09288270164
265	0.09181250752
266	0.09127965076
267	0.09080361123
268	0.09002797082
269	0.08933961024
270	0.08870589982
271	0.08840583687
272	0.08799173778
273	0.08726362067
274	0.08704212077
275	0.08615863267
276	0.08574775469
277	0.08512629728
278	0.08447420002
279	0.08373648885
280	0.08316601313
281	0.08283643905
282	0.08216410642
283	0.08148058125
284	0.08100691487
285	0.08050162782
286	0.07980677522
287	0.07940865527
288	0.07908310346
289	0.07842462306
290	0.07799204615
291	0.07739241945
292	0.07701687957
293	0.07687954701
294	0.07656746424
295	0.07608395195
296	0.07556698418
297	0.07536191667
298	0.07462199609
299	0.07406254628
